City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Mamallapuram,IN,2022-04-11 15:50:50,12.6264,80.1722,86.05,79,94,8.84,overcast clouds
83,Barcelona,ES,2022-04-11 15:46:00,41.3888,2.159,69.15,72,40,18.41,scattered clouds
84,Hithadhoo,MV,2022-04-11 15:50:50,-0.6,73.0833,84.42,66,24,12.35,few clouds
85,Ilulissat,GL,2022-04-11 15:50:51,69.2167,-51.1,27.23,63,100,0.34,overcast clouds
86,Luderitz,NA,2022-04-11 15:50:51,-26.6481,15.1594,73.42,53,4,3.47,clear sky
87,Cidreira,BR,2022-04-11 15:50:51,-30.1811,-50.2056,69.39,90,100,14.5,light rain
88,Butaritari,KI,2022-04-11 15:51:52,3.0707,172.7902,79.83,79,72,6.2,broken clouds
89,Cabedelo,BR,2022-04-11 15:51:52,-6.9811,-34.8339,86.67,60,100,9.82,overcast clouds
90,Georgetown,MY,2022-04-11 15:50:43,5.4112,100.3354,82.33,83,20,2.3,few clouds
91,Port Alfred,ZA,2022-04-11 15:51:52,-33.5906,26.891,70.18,79,100,5.99,overcast clouds
92,Akdepe,TM,2022-04-11 15:51:53,42.0551,59.3788,73.49,39,67,9.73,broken clouds
93,Kiambu,KE,2022-04-11 15:51:53,-1.1667,36.8333,69.67,42,99,10.4,overcast clouds
94,Karratha,AU,2022-04-11 15:51:53,-20.7377,116.8463,83.08,27,2,12.53,clear sky
95,Vila Velha,BR,2022-04-11 15:51:54,-20.3297,-40.2925,85.95,78,40,16.11,scattered clouds
96,Mehamn,NO,2022-04-11 15:51:54,71.0357,27.8492,35.55,87,75,5.75,broken clouds
97,College,US,2022-04-11 15:51:54,64.8569,-147.8028,25.81,82,40,0.0,scattered clouds
98,Raudeberg,NO,2022-04-11 15:51:33,61.9875,5.1352,42.87,61,97,6.11,overcast clouds
99,Boa Vista,BR,2022-04-11 15:49:21,2.8197,-60.6733,87.78,55,40,17.27,scattered clouds
100,Saint-Philippe,RE,2022-04-11 15:51:55,-21.3585,55.7679,76.59,83,74,18.1,light rain
101,Bridlington,GB,2022-04-11 15:51:55,54.0831,-0.1919,52.9,85,100,20.0,overcast clouds
102,Leeton,AU,2022-04-11 15:51:56,-34.5667,146.4,57.11,76,16,1.14,few clouds
103,Goderich,CA,2022-04-11 15:49:05,43.7501,-81.7165,50.92,66,100,20.71,overcast clouds
104,Ambatondrazaka,MG,2022-04-11 15:51:56,-17.8333,48.4167,66.42,78,40,10.76,scattered clouds
105,Betanzos,ES,2022-04-11 15:51:56,43.2804,-8.2147,61.72,74,75,10.36,broken clouds
106,Baykit,RU,2022-04-11 15:51:57,61.67,96.37,12.74,95,63,3.83,broken clouds
107,Buraydah,SA,2022-04-11 15:51:57,26.326,43.975,99.05,8,94,11.21,overcast clouds
