City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Stepnyak,KZ,2022-04-05 19:22:33,52.8339,70.7803,35.69,89,90,17.49
253,Airai,TL,2022-04-05 19:22:34,-8.9266,125.4092,57.96,89,23,2.19
254,Klaksvik,FO,2022-04-05 19:22:34,62.2266,-6.589,34.72,59,100,20.4
255,Dosso,NE,2022-04-05 19:22:34,13.049,3.1937,96.46,18,100,5.84
256,Talnakh,RU,2022-04-05 19:22:35,69.4865,88.3972,9.21,78,53,7.4
257,Tuktoyaktuk,CA,2022-04-05 19:22:35,69.4541,-133.0374,-11.2,70,75,9.22
258,Port Moresby,PG,2022-04-05 19:22:35,-9.4431,147.1797,74.62,94,40,8.05
259,Chicama,PE,2022-04-05 19:22:35,-7.8447,-79.1469,68.54,60,14,10.4
260,Kirillov,RU,2022-04-05 19:22:36,59.863,38.3813,32.23,96,100,13.78
261,Ban Nahin,LA,2022-04-05 19:20:22,18.2418,104.2122,68.07,79,7,4.0
262,Suez,EG,2022-04-05 19:22:36,29.9737,32.5263,84.79,11,13,8.79
263,Myshkin,RU,2022-04-05 19:22:37,57.7897,38.4545,32.49,83,100,16.49
264,Douglas,US,2022-04-05 19:18:21,41.3,-96.167,59.95,76,40,14.97
265,High Level,CA,2022-04-05 19:22:37,58.5169,-117.136,37.51,60,20,6.91
266,Segamat,MY,2022-04-05 19:22:37,2.5148,102.8158,74.5,95,98,2.51
267,Mbandaka,CD,2022-04-05 19:22:38,0.0487,18.2603,74.19,87,100,5.12
268,Hithadhoo,MV,2022-04-05 19:22:38,-0.6,73.0833,82.96,66,15,4.74
269,Marmaris,TR,2022-04-05 19:22:38,36.855,28.2742,66.11,65,100,6.44
270,Pangnirtung,CA,2022-04-05 19:19:39,66.1451,-65.7125,10.4,79,75,2.3
271,Fortuna,US,2022-04-05 19:22:39,40.5982,-124.1573,55.92,65,0,13.8
272,Navrongo,GH,2022-04-05 19:22:39,10.8956,-1.0921,95.83,28,98,7.18
273,Nishihara,JP,2022-04-05 19:22:39,26.1842,127.7558,65.48,64,100,9.22
274,Manbij,SY,2022-04-05 19:22:40,36.5281,37.9549,63.39,38,100,3.87
275,Palora,EC,2022-04-05 19:22:40,-1.7,-77.9333,69.91,74,64,2.95
276,Dedougou,BF,2022-04-05 19:23:40,12.4667,-3.4667,90.97,34,87,11.05
277,Tambo,PE,2022-04-05 19:23:40,-14.8,-73.9167,47.16,63,98,8.08
278,Lulea,SE,2022-04-05 19:23:41,65.5842,22.1547,24.87,93,100,9.22
279,Severo-Kurilsk,RU,2022-04-05 19:23:41,50.6789,156.125,32.77,67,0,4.59
280,Hervey Bay,AU,2022-04-05 19:23:41,-25.2986,152.8535,74.68,72,0,15.3
281,Khani,GE,2022-04-05 19:23:42,41.9563,42.9566,38.77,97,100,3.04
282,Troitsko-Pechorsk,RU,2022-04-05 19:23:42,62.7084,56.1964,12.33,96,32,5.61
283,Emmett,US,2022-04-05 19:23:42,43.8735,-116.4993,48.79,37,99,7.0
284,Husavik,IS,2022-04-05 19:23:43,66.0449,-17.3389,26.37,93,100,29.3
285,Ostrovnoy,RU,2022-04-05 19:23:43,68.0531,39.5131,26.06,88,100,14.2
286,Luderitz,NA,2022-04-05 19:23:43,-26.6481,15.1594,61.97,80,0,13.51
287,Nagato,JP,2022-04-05 19:23:44,34.3833,131.2,53.2,75,100,8.88
288,Trairi,BR,2022-04-05 19:22:31,-3.2778,-39.2689,82.31,77,2,9.51
289,Rundu,NA,2022-04-05 19:23:44,-17.9333,19.7667,72.81,55,58,4.41
290,Grand Gaube,MU,2022-04-05 19:23:44,-20.0064,57.6608,77.4,89,100,1.99
291,Egvekinot,RU,2022-04-05 19:23:45,66.3167,-179.1667,-10.35,73,0,5.73
292,Snasa,NO,2022-04-05 19:23:45,64.2457,12.3778,27.81,97,16,4.54
293,Buta,CD,2022-04-05 19:23:45,2.7858,24.73,68.79,93,100,2.37
294,Yeola,IN,2022-04-05 19:23:45,20.0333,74.4833,86.95,26,1,8.16
295,Banda Aceh,ID,2022-04-05 19:23:46,5.5577,95.3222,76.26,87,100,3.31
