City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Jaynagar-Majilpur,IN,81.21,scattered clouds,22.1758,88.4178,Joychanditala Sarbojonin Durga Utsav Committee
470,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
471,Progreso,MX,84.31,clear sky,21.2833,-89.6667,Playa Linda Hotel
472,Martapura,ID,77.09,clear sky,-3.4167,114.85,Montana Hotel Syariah
475,Axim,GH,85.87,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
476,Srandakan,ID,78.35,scattered clouds,-7.9386,110.2506,Puri Brata
483,Nhulunbuy,AU,79.41,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
484,Lazaro Cardenas,MX,84.13,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
486,Puerto Baquerizo Moreno,EC,78.6,broken clouds,-0.9,-89.6,Hotel los Algarrobos
487,Gamba,GA,81.66,broken clouds,-2.65,10.0,
488,Santa Rosa,PH,83.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
489,Cartagena Del Chaira,CO,85.3,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
491,Hinche,HT,89.51,few clouds,19.15,-72.0167,«Petites Soeurs de l'Incarnation»
495,Maun,BW,78.51,overcast clouds,-19.9833,23.4167,Enviro Villa
497,Zabid,YE,88.86,clear sky,14.1951,43.3152,مغرب التريبه
503,Manta,EC,76.03,overcast clouds,-0.95,-80.7333,Balandra Hotel
505,Mount Pleasant,US,77.09,clear sky,32.7941,-79.8626,Best Western Patriots Point
510,Puerto El Triunfo,SV,89.82,few clouds,13.2833,-88.55,Hotel Jardin
519,Mabaruma,GY,86.47,broken clouds,8.2,-59.7833,Monty Brooms Guest House
520,Bandarbeyla,SO,82.15,clear sky,9.4942,50.8122,JABIR HOTEL
530,Quatre Cocos,MU,75.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
531,Roatan,HN,77.36,scattered clouds,16.3244,-86.5366,Hotel Henry Morgan
535,Savannah Bight,HN,80.13,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
541,Ilebo,CD,82.44,broken clouds,-4.3167,20.5833,Hôtel BUMAK
544,Tierra Blanca,HN,82.06,scattered clouds,14.5833,-88.5833,Guancascos´Hotel & Restaurant
545,Sola,VU,81.21,clear sky,-13.8833,167.55,Leumerus Bungalows
548,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
551,Rong Kwang,TH,84.43,light rain,18.339,100.3174,Rong Kwang Hotel
552,Maner,IN,84.11,clear sky,25.65,84.8833,Mukesh Sweets
554,Madruga,CU,79.74,clear sky,22.9114,-81.8561,
555,Eyl,SO,82.27,clear sky,7.9803,49.8164,Amiin Hotel
556,Alice Springs,AU,78.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
558,Santa Maria Do Suacui,BR,81.99,broken clouds,-18.1903,-42.4142,Hotel Vale Verde
561,Road Town,VG,81.0,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
564,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
566,Baillif,GP,83.7,scattered clouds,16.0202,-61.7463,Hôtel Saint-Georges
569,Basse-Pointe,MQ,86.05,scattered clouds,14.8695,-61.115,Residence HYBRIDES
570,Waingapu,ID,76.98,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
571,Una,IN,82.9,overcast clouds,20.8167,71.0333,Hotel Harbhole
573,Sinazongwe,ZM,77.22,overcast clouds,-17.2614,27.4618,Lakeview Lodge
576,Polewali,ID,77.25,scattered clouds,-3.4324,119.3435,Lilianto Hotel
580,Rayagada,IN,81.81,scattered clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
589,Basco,PH,78.46,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
590,Manokwari,ID,78.62,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
594,Elat,IL,85.84,clear sky,29.5581,34.9482,Club Hotel Eilat
598,Touros,BR,87.42,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
599,Meulaboh,ID,76.69,overcast clouds,4.1363,96.1285,Kost Pria
615,Kirakira,SB,79.32,scattered clouds,-10.4544,161.9205,SanBiz Lodge
616,Grand Gaube,MU,75.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
618,Camapua,BR,89.96,clear sky,-19.5314,-54.0439,Comercial Estrela
620,Sayat,TM,77.34,clear sky,38.7839,63.8803,
623,Kroya,ID,78.71,light rain,-7.6331,109.2461,Devina kost & Homestay Kroya
624,Yopal,CO,87.64,overcast clouds,5.3378,-72.3959,Hotel Camoruco
625,Inirida,CO,83.89,moderate rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
628,Altamira,BR,85.51,overcast clouds,-3.2033,-52.2064,Requinte Hotel
630,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
646,Ternate,ID,81.66,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
649,Nuevitas,CU,80.64,clear sky,21.5453,-77.2644,Hotel Caonaba
651,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
653,Antalaha,MG,77.45,light rain,-14.9003,50.2788,Hotel Vitasoa
656,Ambilobe,MG,77.56,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
659,Monrovia,LR,85.77,broken clouds,6.3005,-10.7969,Sunset Inn
